,0
0,-11210.072923790694
1,-13349.380679571957
2,-15425.666377837577
3,-18841.98040295897
4,-21102.96242408111
5,-20563.516465206852
6,-18283.134640499098
7,-19011.21286353112
8,-17710.857532127244
9,-18906.343554743686
10,-36978.27284592284
11,-37021.42972099389
12,-34327.48721418359
13,-32802.99070970521
14,-36286.762376052175
15,-31487.620299006285
16,-33480.42650488398
17,-33867.72058726694
18,-35763.342921535324
19,-34100.76763765267
20,-35809.471550245034
21,-31717.408794584582
22,-28174.416991170165
23,-32399.33973503661
24,-36621.22695968269
25,-29393.549908107016
26,-29828.91727247418
27,-32789.07644396049
28,-28214.619898229226
29,-30730.03636379844
30,-28991.51167458423
31,-32797.96829431889
32,-34885.53405491187
33,-35693.92769854514
34,-32625.231327603335
35,-32307.098303191342
36,-33510.99092051555
37,-30179.090236274507
38,-34991.54333828743
39,-38875.89809209072
40,-35481.149002219754
41,-27852.1188704333
42,-34791.33133162336
43,-32734.303658584
44,-38202.08569003888
45,-34733.270968358964
46,-37827.458417563714
47,-38127.68971191235
48,-37559.37804649121
49,-31578.462095713294
50,-34096.58939774353
51,-34695.85580253342
52,-34843.037699203516
53,-37411.69108752822
54,-39931.36709624266
55,-41567.74040620974
56,-39854.16651824773
57,-33515.003997079744
58,-30971.560673047592
59,-35197.094727157244
60,-34022.78539327416
61,-37105.915400197075
62,-38751.864095229445
63,-32764.63492086682
64,-32121.82939839883
65,-32101.48156079668
66,-32525.30943397321
67,-35846.89393578552
68,-36972.29670015569
69,-35788.14260210537
70,-38143.43014394092
71,-32718.82305950642
72,-33383.884567772424
73,-34673.03596766485
74,-32546.105983466266
75,-40998.990524571585
76,-38944.651640437456
77,-43012.19948026022
78,-34272.11398697028
79,-34805.970249024904
80,-33575.73227372833
81,-33980.05926320487
82,-35422.34946668447
83,-33609.272775335165
84,-31337.03772611862
85,-32413.691134861692
86,-33447.607568628984
87,-32016.939912691818
88,-37453.28919774717
89,-32921.88597540179
90,-40392.9270039883
91,-37248.20767839193
92,-42053.19278511447
93,-43148.75383419688
94,-53203.15242142601
95,-45904.666844308325
96,-54767.834346668846
97,-46323.76482984515
98,-49372.0895783551
