,0
0,59
1,60
2,53
3,61
4,55
5,55
6,50
7,56
8,53
9,50
10,10
11,16
12,23
13,12
14,16
15,16
16,18
17,16
18,14
19,18
20,24
21,31
22,33
23,32
24,26
25,34
26,33
27,27
28,36
29,32
30,43
31,49
32,37
33,39
34,36
35,39
36,42
37,45
38,49
39,35
40,38
41,42
42,33
43,44
44,43
45,36
46,32
47,37
48,32
49,45
50,37
51,42
52,43
53,46
54,40
55,38
56,36
57,33
58,42
59,31
60,56
61,32
62,42
63,39
64,32
65,39
66,37
67,39
68,36
69,38
70,42
71,30
72,38
73,40
74,38
75,25
76,31
77,29
78,37
79,33
80,37
81,36
82,40
83,30
84,49
85,43
86,33
87,47
88,35
89,36
90,34
91,37
92,23
93,16
94,18
95,18
96,6
97,5
98,51
